repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
2,4,Gabungan 6 Fitur,Logistic Regression,0.8484396577138512,0.06795911425062691,"[0.783068783069, 0.815668202765, 0.940476190476, 0.854545454545]"
2,4,Gabungan 6 Fitur,SVM (RBF),0.9014858846543947,0.05330452580693146,"[0.866623292128, 0.912727272727, 0.972047519217, 0.854545454545]"
2,4,Gabungan 6 Fitur,Random Forest,0.9424988072356494,0.023890430309075283,"[0.971228070175, 0.94301994302, 0.94301994302, 0.912727272727]"
2,5,Edge/Morfologi,Logistic Regression,0.7373987204346801,0.061103544414780574,"[0.751515151515, 0.786666666667, 0.648411088573, 0.763001974984]"
2,5,Edge/Morfologi,SVM (RBF),0.7330871339922465,0.04923976962222843,"[0.775956284153, 0.774011299435, 0.68, 0.702380952381]"
2,5,Edge/Morfologi,Random Forest,0.77861096017407,0.031357264528415224,"[0.764367816092, 0.821428571429, 0.748427672956, 0.78021978022]"
2,5,Tekstur,Logistic Regression,0.7352062946799789,0.045474774686056506,"[0.760233918129, 0.738181818182, 0.77207977208, 0.67032967033]"
2,5,Tekstur,SVM (RBF),0.8350245703259774,0.03054320089678734,"[0.875757575758, 0.821428571429, 0.838579499596, 0.804332634521]"
2,5,Tekstur,Random Forest,0.8297727272727273,0.05589923539643752,"[0.813636363636, 0.796363636364, 0.912727272727, 0.796363636364]"
2,5,Frekuensi,Logistic Regression,0.5936776056064412,0.08506722147995863,"[0.675987841945, 0.619047619048, 0.605003291639, 0.474671669794]"
2,5,Frekuensi,SVM (RBF),0.6147848602504407,0.07110985055689335,"[0.670377241806, 0.673161533627, 0.524807826695, 0.590792838875]"
2,5,Frekuensi,Random Forest,0.650502499116886,0.054751555062310754,"[0.728835978836, 0.635416666667, 0.636617749825, 0.60113960114]"
2,5,Gabungan 6 Fitur,Logistic Regression,0.8109350216223834,0.06616078356426021,"[0.84893146647, 0.860237596087, 0.7150997151, 0.819471308833]"
2,5,Gabungan 6 Fitur,SVM (RBF),0.9211659845515048,0.014916130609111063,"[0.909358879882, 0.94301994302, 0.916142557652, 0.916142557652]"
2,5,Gabungan 6 Fitur,Random Forest,0.9276165570398132,0.03774182934227649,"[0.909358879882, 0.88603988604, 0.94301994302, 0.972047519217]"
3,1,Edge/Morfologi,Logistic Regression,0.7263007115052023,0.03113272615778383,"[0.723444374607, 0.686520376176, 0.733333333333, 0.761904761905]"
3,1,Edge/Morfologi,SVM (RBF),0.7544282408346208,0.04404054446621385,"[0.767891682785, 0.689387402934, 0.786422578185, 0.774011299435]"
3,1,Edge/Morfologi,Random Forest,0.7287011688634406,0.05589166521922362,"[0.810682893847, 0.686520376176, 0.702501690331, 0.7150997151]"
3,1,Tekstur,Logistic Regression,0.7432804904375837,0.05706381425927116,"[0.710335747202, 0.786422578185, 0.796363636364, 0.68]"
3,1,Tekstur,SVM (RBF),0.8044859712628808,0.058878684301087614,"[0.738181818182, 0.860237596087, 0.77207977208, 0.847444698703]"
3,1,Tekstur,Random Forest,0.7985511535983234,0.02051276870143248,"[0.77207977208, 0.804332634521, 0.821428571429, 0.796363636364]"
3,1,Frekuensi,Logistic Regression,0.5121764797842039,0.11808164407557949,"[0.341672152732, 0.583333333333, 0.524702939337, 0.598997493734]"
3,1,Frekuensi,SVM (RBF),0.6330505647501189,0.07906177224640204,"[0.605003291639, 0.648411088573, 0.545454545455, 0.733333333333]"
3,1,Frekuensi,Random Forest,0.605346170726355,0.05039231427160438,"[0.552337063858, 0.583333333333, 0.615384615385, 0.67032967033]"
3,1,Gabungan 6 Fitur,Logistic Regression,0.8085146160617859,0.06318756739776854,"[0.720634920635, 0.804332634521, 0.854545454545, 0.854545454545]"
3,1,Gabungan 6 Fitur,SVM (RBF),0.8968093471867057,0.04488761507636383,"[0.84, 0.945054945055, 0.88603988604, 0.916142557652]"
3,1,Gabungan 6 Fitur,Random Forest,0.8851495726495726,0.04978200200424109,"[0.89010989011, 0.94301994302, 0.88603988604, 0.821428571429]"
3,2,Edge/Morfologi,Logistic Regression,0.8168752543752544,0.03011532296240687,"[0.82905982906, 0.837301587302, 0.82905982906, 0.77207977208]"
3,2,Edge/Morfologi,SVM (RBF),0.7920187645316857,0.0544713090277229,"[0.725274725275, 0.823275862069, 0.77207977208, 0.847444698703]"
3,2,Edge/Morfologi,Random Forest,0.7895337017978528,0.051321826739086925,"[0.748427672956, 0.806734006734, 0.748427672956, 0.854545454545]"
